Price,Close,High,Low,Open,Volume
Ticker,ADS.DE,ADS.DE,ADS.DE,ADS.DE,ADS.DE
Date,,,,,
2026-06-10,172.10000610351562,172.60000610351562,167.5,170.0,809716
2026-06-11,173.3000030517578,175.0,171.4499969482422,171.5,650956
2026-06-12,176.35000610351562,179.60000610351562,175.4499969482422,175.85000610351562,814476
2026-06-15,176.35000610351562,180.5,175.35000610351562,180.0,648533
2026-06-16,174.1999969482422,176.0500030517578,173.1999969482422,175.5,351974
2026-06-17,173.10000610351562,174.89999389648438,172.8000030517578,173.85000610351562,478326
2026-06-18,177.9499969482422,178.14999389648438,169.5,171.0,952981
2026-06-19,174.89999389648438,177.5,173.39999389648438,176.39999389648438,1261231
2026-06-22,174.5,174.5,170.75,173.14999389648438,564821
2026-06-23,171.10000610351562,176.5500030517578,171.10000610351562,173.14999389648438,635447
2026-06-24,176.0,176.60000610351562,170.75,172.0,596012
2026-06-25,177.89999389648438,182.0,176.75,176.9499969482422,764670
2026-06-26,181.6999969482422,181.6999969482422,176.4499969482422,178.64999389648438,612529
2026-06-29,180.89999389648438,183.14999389648438,179.10000610351562,180.75,687102
2026-06-30,179.39999389648438,181.5500030517578,176.75,178.0,734648
2026-07-01,181.0,181.0,175.5,179.0,652108
2026-07-02,183.6999969482422,186.0,181.8000030517578,182.5,913345
2026-07-03,185.3000030517578,186.10000610351562,181.89999389648438,182.25,276571
2026-07-06,185.39999389648438,188.8000030517578,185.0500030517578,185.9499969482422,531236
2026-07-07,187.89999389648438,188.5,185.9499969482422,186.60000610351562,568179
2026-07-08,179.14999389648438,187.10000610351562,178.75,186.25,887057
2026-07-09,181.5500030517578,182.1999969482422,178.75,180.25,404829
2026-07-10,181.85000610351562,182.5500030517578,179.9499969482422,182.0500030517578,483370
2026-07-13,183.60000610351562,184.35000610351562,180.3000030517578,180.4499969482422,438711
2026-07-14,180.60000610351562,183.5500030517578,179.5,180.5,607444
2026-07-15,182.89999389648438,183.9499969482422,179.0,180.8000030517578,460978
2026-07-16,182.9499969482422,183.3000030517578,179.3000030517578,182.10000610351562,597150
2026-07-17,181.10000610351562,182.89999389648438,180.3000030517578,181.0,421978
